# Sun Jan 15 12:48:18 2023
#
#  LST    Total       LP   Band 8   Band 9  Band 10
#  (h)      (h)      (h)      (h)      (h)      (h)
     0    129.0     64.5     27.4     14.6     14.6
     1    127.4     63.7     27.8     14.6     14.6
     2    125.7     62.9     27.5     14.2     14.2
     3    123.5     61.7     26.6     13.6     13.6
     4    122.4     61.2     26.0     13.6     13.6
     5    122.3     61.1     24.5     12.9     12.9
     6    122.8     61.4     22.6     12.1     12.1
     7    123.0     61.5     20.8     11.3     11.3
     8    122.6     61.3     18.4      9.8      9.8
     9    122.7     61.4     16.8      8.9      8.9
    10    122.4     61.2     15.0      8.1      8.1
    11    122.5     61.2     13.6      7.2      7.2
    12    122.8     61.4     12.5      6.3      6.3
    13    122.4     61.2     12.1      6.1      6.1
    14    122.7     61.4     13.3      7.0      7.0
    15    122.6     61.3     15.0      8.0      8.0
    16    123.5     61.7     17.2      9.0      9.0
    17    125.6     62.8     20.0     10.4     10.4
    18    126.4     63.2     22.5     11.6     11.6
    19    126.5     63.2     24.0     12.4     12.4
    20    127.2     63.6     25.0     13.0     13.0
    21    129.0     64.5     25.6     13.4     13.4
    22    129.9     65.0     26.2     13.9     13.9
    23    129.9     65.0     26.9     14.3     14.3
